RangeOfMotion,MotionSpeed,PostureDuration,Smoothness,JerkRMS,MeanVelocity,MaxVelocity,State,LDH_Probability,Risk
2.53,3.58,0.00,-1.60,1088.24,-1.17,40.00,RETURNING,27.06,MEDIUM RISK
36.87,31.10,0.22,-0.06,2324.38,15.13,281.50,STRAIGHT,18.94,LOW RISK
6.41,6.35,0.42,1.65,983.53,-2.32,54.63,BENDING,13.26,LOW RISK
3.07,7.99,0.00,1.45,1247.78,1.32,42.31,BENDING,16.78,LOW RISK
9.62,12.77,0.00,0.75,1548.57,-4.66,70.73,BENDING,26.75,MEDIUM RISK
12.13,19.59,0.69,0.39,2118.41,1.96,104.56,BENDING,48.72,HIGH RISK
11.36,14.21,0.44,0.28,1693.60,-1.51,89.05,STRAIGHT,34.11,MEDIUM RISK
15.44,16.70,1.00,0.30,1554.80,-2.03,119.50,STRAIGHT,23.87,LOW RISK
2.08,3.35,1.00,0.59,733.37,-0.87,20.00,STRAIGHT,16.71,LOW RISK
1.09,6.88,1.00,0.31,1245.81,-0.46,20.04,STRAIGHT,11.70,LOW RISK
0.63,1.73,1.00,0.48,587.76,-0.21,20.00,STRAIGHT,8.19,LOW RISK
2.59,4.91,1.00,0.15,1176.35,-1.10,40.23,STRAIGHT,5.73,LOW RISK
2.04,8.90,1.00,-0.03,1836.78,-0.77,40.87,STRAIGHT,4.01,LOW RISK
1.66,7.37,1.00,-0.14,1760.76,0.27,42.76,STRAIGHT,2.81,LOW RISK
4.99,10.74,1.00,-0.06,1846.90,-1.33,48.00,STRAIGHT,1.97,LOW RISK
24.65,21.82,1.00,0.09,1811.52,12.14,245.00,STRAIGHT,1.38,LOW RISK
6.27,10.38,0.32,1.00,1357.55,-2.64,92.40,BENDING,8.46,LOW RISK
3.02,3.13,0.00,2.51,783.50,-1.52,20.03,BENDING,5.92,LOW RISK
3.41,5.65,0.00,1.13,1447.60,-1.64,40.00,BENDING,11.65,LOW RISK
2.34,3.10,0.64,1.35,916.07,-1.18,26.38,STRAIGHT,8.15,LOW RISK
1.20,2.21,1.00,1.54,720.14,-0.60,20.00,STRAIGHT,5.71,LOW RISK
1.18,2.45,1.00,1.32,644.93,-0.55,20.00,STRAIGHT,3.99,LOW RISK
0.53,0.97,1.00,1.87,443.83,-0.06,20.00,STRAIGHT,2.80,LOW RISK
0.50,0.43,1.00,3.23,276.05,-0.17,13.23,STRAIGHT,1.96,LOW RISK
1.09,2.63,1.00,1.11,785.44,-0.55,20.00,STRAIGHT,1.37,LOW RISK
0.88,4.28,1.00,0.76,857.11,-0.14,19.66,STRAIGHT,0.96,LOW RISK
0.40,0.30,1.00,3.20,222.42,-0.10,20.00,STRAIGHT,0.67,LOW RISK
0.57,2.38,1.00,0.98,701.68,-0.11,20.00,STRAIGHT,0.47,LOW RISK
1.56,5.41,1.00,0.63,1027.50,0.35,20.40,STRAIGHT,0.33,LOW RISK
12.88,12.74,0.51,0.87,1786.53,4.34,73.09,BENDING,15.23,LOW RISK
2.00,9.54,0.00,1.15,1791.25,-0.89,39.50,BENDING,18.16,LOW RISK
1.75,6.99,0.00,1.11,1793.03,-0.34,75.06,BENDING,20.21,LOW RISK
1.46,9.21,0.00,0.89,2077.88,-0.36,77.36,BENDING,21.65,LOW RISK
1.93,4.57,0.00,1.67,1043.15,0.21,51.35,BENDING,15.15,LOW RISK
1.36,6.55,0.00,1.38,1332.86,-0.12,41.10,BENDING,18.11,LOW RISK
2.43,4.55,0.00,1.66,1121.51,-0.57,40.01,BENDING,12.68,LOW RISK
3.71,6.71,0.11,0.93,1488.12,-1.80,41.01,STRAIGHT,8.87,LOW RISK
0.98,0.84,1.00,2.80,349.50,-0.41,19.69,STRAIGHT,6.21,LOW RISK
1.07,5.95,1.00,0.95,1097.09,-0.45,20.00,STRAIGHT,4.35,LOW RISK
1.00,4.53,1.00,1.08,978.58,-0.07,20.00,STRAIGHT,3.04,LOW RISK
0.94,6.78,1.00,0.86,1237.14,-0.32,19.71,STRAIGHT,2.13,LOW RISK
0.41,0.43,1.00,3.30,314.34,-0.17,20.00,STRAIGHT,1.49,LOW RISK
3.50,5.72,1.00,0.62,1072.43,-1.49,24.81,STRAIGHT,1.04,LOW RISK
1.57,4.12,1.00,0.45,944.31,-0.58,22.85,STRAIGHT,0.73,LOW RISK
1.41,7.04,1.00,0.26,1414.89,-0.18,38.67,STRAIGHT,0.51,LOW RISK
11.11,11.69,1.00,0.42,1326.86,3.11,80.62,STRAIGHT,0.36,LOW RISK
14.15,14.25,1.00,0.20,1038.85,-7.06,90.10,STRAIGHT,0.25,LOW RISK
7.88,12.77,1.00,-0.40,1361.84,-3.36,84.35,STRAIGHT,0.18,LOW RISK
0.99,5.44,0.34,-1.47,1052.01,-0.17,20.00,RETURNING,7.62,LOW RISK
1.20,1.81,0.00,-2.29,736.63,-0.20,40.00,RETURNING,12.84,LOW RISK
4.00,6.30,0.00,-1.31,1345.61,-2.01,40.00,RETURNING,23.99,LOW RISK
15.16,11.73,0.21,-0.43,1127.87,7.39,65.16,STRAIGHT,16.79,LOW RISK
10.91,13.37,1.00,0.16,1317.95,5.36,49.80,STRAIGHT,11.75,LOW RISK
25.20,26.08,1.00,0.10,1593.85,-3.04,141.58,STRAIGHT,8.23,LOW RISK
15.73,20.58,0.73,0.48,1785.03,7.22,151.80,BENDING,35.76,MEDIUM RISK
5.24,9.71,0.00,1.39,1426.69,0.48,43.02,BENDING,32.53,MEDIUM RISK
18.44,14.90,0.00,0.68,1483.69,-9.27,116.65,BENDING,37.77,MEDIUM RISK
32.17,33.20,0.81,0.14,1442.14,1.95,185.45,STRAIGHT,26.44,MEDIUM RISK
22.85,26.00,0.85,0.07,2299.53,6.59,316.71,STRAIGHT,18.51,LOW RISK
38.18,38.77,1.00,0.07,1996.36,-18.29,274.73,STRAIGHT,12.96,LOW RISK
7.90,12.54,0.44,-1.38,1184.80,-1.24,45.09,RETURNING,16.57,LOW RISK
4.92,9.16,0.00,-1.49,1010.48,0.69,55.53,RETURNING,19.10,LOW RISK
4.85,9.68,0.00,-1.55,1052.61,-1.04,55.25,RETURNING,20.87,LOW RISK
9.20,13.08,0.00,-1.23,1290.85,-1.12,67.67,RETURNING,37.11,MEDIUM RISK
3.51,5.92,0.00,-2.36,1130.16,-0.76,42.67,RETURNING,33.48,MEDIUM RISK
3.81,12.14,0.00,-1.52,1641.13,0.75,48.11,RETURNING,38.43,MEDIUM RISK
4.53,11.69,0.00,-1.39,1391.82,-0.59,74.84,RETURNING,41.90,HIGH RISK
19.38,20.75,0.00,-0.81,1248.17,4.31,88.75,RETURNING,59.33,HIGH RISK
35.96,36.42,0.00,-0.27,1852.27,-5.23,276.53,RETURNING,71.53,HIGH RISK
6.33,13.22,0.00,-1.32,1404.77,0.94,73.87,RETURNING,65.07,HIGH RISK
7.41,14.41,0.00,-1.35,1383.09,-1.34,92.68,RETURNING,60.55,HIGH RISK
67.03,99.52,0.00,-0.26,3530.33,13.32,562.05,RETURNING,72.39,HIGH RISK
56.11,106.86,0.00,-0.09,5812.09,3.96,882.96,RETURNING,80.67,HIGH RISK
43.67,55.73,0.83,-0.14,2902.31,-21.21,233.50,RETURNING,86.47,HIGH RISK
55.58,44.31,0.64,0.17,3830.83,26.68,569.01,BENDING,90.53,HIGH RISK
5.59,5.08,0.00,2.20,924.63,-2.81,29.47,BENDING,63.37,HIGH RISK
2.20,3.13,0.00,2.28,860.64,-1.10,20.11,BENDING,44.36,HIGH RISK
3.03,5.87,0.00,1.02,1446.31,-1.52,40.01,BENDING,38.55,MEDIUM RISK
1.34,2.96,0.86,1.47,816.20,-0.67,21.10,STRAIGHT,26.99,MEDIUM RISK
1.00,3.65,1.00,1.18,929.24,-0.50,20.00,STRAIGHT,18.89,LOW RISK
0.40,0.30,1.00,4.48,222.42,-0.10,20.00,STRAIGHT,13.22,LOW RISK
1.00,3.80,1.00,0.98,901.19,-0.50,20.00,STRAIGHT,9.26,LOW RISK
0.20,0.10,1.00,13.03,9.48,-0.10,4.00,STRAIGHT,6.48,LOW RISK
0.40,0.89,1.00,1.98,444.55,-0.11,20.00,STRAIGHT,4.54,LOW RISK
6.75,4.78,1.00,0.48,633.45,3.17,76.77,STRAIGHT,3.17,LOW RISK
11.45,14.89,0.28,1.05,1588.89,1.97,64.18,BENDING,17.22,LOW RISK
1.48,3.38,0.00,2.57,858.51,-0.05,25.35,BENDING,12.06,LOW RISK
1.43,4.85,0.00,2.20,1028.77,-0.68,21.47,BENDING,8.44,LOW RISK
1.03,5.50,0.00,2.00,1085.52,0.25,33.74,BENDING,5.91,LOW RISK
8.61,10.04,0.00,0.94,1300.17,-3.82,57.22,BENDING,19.14,LOW RISK
5.80,7.92,0.50,0.65,1079.05,-2.75,32.60,STRAIGHT,13.39,LOW RISK
5.80,8.12,1.00,0.26,1140.49,1.83,54.88,STRAIGHT,9.38,LOW RISK
11.52,10.98,0.49,0.93,1370.93,3.57,71.26,BENDING,21.56,LOW RISK
2.73,4.25,0.00,2.13,980.10,-1.29,20.01,BENDING,15.09,LOW RISK
4.51,7.39,0.00,1.45,1025.65,0.76,43.39,BENDING,10.57,LOW RISK
2.63,7.27,0.00,1.39,939.82,-0.55,37.27,BENDING,7.40,LOW RISK
10.58,10.64,0.00,0.96,1077.57,-2.98,46.98,BENDING,12.68,LOW RISK
4.68,8.96,0.00,0.75,1798.52,0.86,50.52,BENDING,16.37,LOW RISK
2.67,11.96,0.15,0.62,1945.56,-0.52,46.67,STRAIGHT,11.46,LOW RISK
3.33,6.88,1.00,0.76,1376.00,-0.21,55.20,STRAIGHT,8.02,LOW RISK
3.14,8.34,1.00,0.74,1247.34,-0.14,40.45,STRAIGHT,5.62,LOW RISK
3.58,9.50,1.00,0.52,1410.39,-1.31,41.42,STRAIGHT,3.93,LOW RISK
9.97,8.34,0.61,0.98,1073.61,4.97,74.65,BENDING,10.25,LOW RISK
1.63,4.17,0.00,2.31,1006.04,-0.69,20.02,BENDING,7.18,LOW RISK
1.17,2.87,0.00,2.51,815.90,-0.52,20.00,BENDING,5.02,LOW RISK
0.72,3.11,0.00,2.37,830.52,-0.04,20.44,BENDING,3.52,LOW RISK
1.40,6.32,0.00,1.57,1162.67,-0.63,39.61,BENDING,2.46,LOW RISK
1.00,4.76,0.00,1.77,1053.44,-0.50,20.05,BENDING,1.72,LOW RISK
2.21,6.89,0.00,1.00,1548.53,-0.67,40.38,BENDING,8.71,LOW RISK
2.63,11.46,0.00,0.82,1614.65,0.66,41.88,BENDING,13.59,LOW RISK
2.63,5.99,0.00,1.50,1071.21,0.32,52.68,BENDING,9.52,LOW RISK
1.43,6.36,0.00,1.51,1304.76,-0.56,36.85,BENDING,14.16,LOW RISK
0.74,6.25,0.00,1.49,1333.85,-0.14,26.09,BENDING,17.41,LOW RISK
1.25,7.47,0.00,1.36,1393.52,-0.23,39.56,BENDING,19.69,LOW RISK
1.18,4.86,0.00,1.66,1108.03,0.36,28.30,BENDING,13.78,LOW RISK
3.25,7.38,0.00,1.47,1336.05,1.13,36.14,BENDING,17.15,LOW RISK
4.34,7.73,0.00,1.57,1375.41,-1.40,34.05,BENDING,19.50,LOW RISK
2.17,5.96,0.00,1.62,1245.41,0.03,35.32,BENDING,21.15,LOW RISK
1.12,5.56,0.00,1.66,1120.75,0.07,39.50,BENDING,14.81,LOW RISK
1.14,4.08,0.00,1.85,1043.89,-0.42,24.57,BENDING,10.36,LOW RISK
0.57,3.14,0.00,2.11,943.54,-0.11,23.47,BENDING,7.26,LOW RISK
1.58,6.99,0.00,1.46,1234.93,-0.08,24.17,BENDING,12.58,LOW RISK
4.38,6.94,0.00,1.44,1252.22,1.03,39.04,BENDING,16.31,LOW RISK
2.37,7.05,0.00,1.65,1125.90,-0.07,29.83,BENDING,11.41,LOW RISK
3.19,5.19,0.00,1.89,1025.09,0.29,31.54,BENDING,7.99,LOW RISK
1.18,5.69,0.00,2.03,988.44,0.06,28.40,BENDING,5.59,LOW RISK
2.84,4.99,0.00,1.88,1131.97,-1.10,41.56,BENDING,3.91,LOW RISK
1.18,7.23,0.00,1.55,1349.57,0.19,37.60,BENDING,10.24,LOW RISK
1.11,7.75,0.00,1.45,1404.20,0.05,24.75,BENDING,14.67,LOW RISK
1.08,7.18,0.00,1.50,1397.65,-0.13,30.01,BENDING,17.77,LOW RISK
1.38,4.59,0.00,1.76,1152.50,-0.51,40.00,BENDING,12.44,LOW RISK
1.24,7.08,0.00,1.56,1322.46,0.20,25.47,BENDING,16.21,LOW RISK
15.88,12.09,0.00,1.07,1360.56,5.28,134.41,BENDING,26.34,MEDIUM RISK
6.52,7.10,0.00,2.24,1012.82,0.89,41.75,BENDING,18.44,LOW RISK
5.92,8.09,0.00,2.60,923.64,-0.58,34.53,BENDING,12.91,LOW RISK
5.42,3.92,0.00,3.17,977.45,-2.63,40.01,BENDING,9.04,LOW RISK
3.40,5.01,0.00,2.54,1027.61,-1.66,27.41,BENDING,6.33,LOW RISK
1.87,4.94,0.00,2.30,1064.84,-0.90,20.00,BENDING,4.43,LOW RISK
0.93,1.43,0.00,4.10,588.44,-0.20,20.00,BENDING,3.10,LOW RISK
1.62,4.46,0.00,2.15,1065.55,-0.78,20.00,BENDING,2.17,LOW RISK
0.70,3.55,0.00,2.29,944.04,-0.25,18.97,BENDING,1.52,LOW RISK
1.20,5.03,0.00,1.82,1053.04,-0.60,20.00,BENDING,1.06,LOW RISK
0.20,0.30,0.00,8.32,222.43,-0.10,19.98,BENDING,0.74,LOW RISK
0.66,1.48,0.00,3.29,543.51,-0.10,20.00,BENDING,0.52,LOW RISK
0.97,8.07,0.00,1.31,1322.00,-0.47,19.94,BENDING,7.86,LOW RISK
0.36,1.46,0.00,3.10,543.81,-0.12,20.00,BENDING,5.51,LOW RISK
1.28,4.02,0.00,1.24,1438.56,-0.64,40.00,BENDING,11.35,LOW RISK
3.09,12.63,0.00,0.68,2350.51,-1.22,39.86,BENDING,15.45,LOW RISK
5.48,11.64,0.00,0.67,1668.27,-0.53,45.55,BENDING,18.31,LOW RISK
5.52,8.76,0.00,0.82,1161.60,2.39,54.56,BENDING,12.82,LOW RISK
3.15,5.47,0.00,1.23,1339.64,-1.53,40.00,BENDING,16.47,LOW RISK
1.06,2.03,0.13,2.11,627.23,-0.44,20.00,STRAIGHT,11.53,LOW RISK
2.12,5.15,1.00,1.08,1123.73,-1.07,30.76,STRAIGHT,8.07,LOW RISK
0.20,0.10,1.00,17.36,9.48,-0.10,4.00,STRAIGHT,5.65,LOW RISK
0.71,2.04,1.00,1.67,737.54,-0.22,20.00,STRAIGHT,3.96,LOW RISK
0.99,7.18,1.00,0.84,1324.18,-0.41,19.75,STRAIGHT,2.77,LOW RISK
0.20,0.10,1.00,15.11,9.53,-0.10,4.02,STRAIGHT,1.94,LOW RISK
0.20,0.10,1.00,15.19,9.48,-0.10,4.00,STRAIGHT,1.36,LOW RISK
0.00,0.00,1.00,0.00,0.00,0.00,0.00,STRAIGHT,0.95,LOW RISK
0.20,0.10,1.00,15.19,9.48,-0.10,4.00,STRAIGHT,0.66,LOW RISK
6.30,3.37,1.00,0.87,480.93,2.97,52.90,STRAIGHT,0.47,LOW RISK
6.38,12.44,0.58,0.73,1335.55,-0.01,50.31,BENDING,7.83,LOW RISK
5.22,7.48,0.00,1.03,1336.14,-2.55,40.01,BENDING,12.98,LOW RISK
1.56,5.50,0.85,1.01,977.86,-0.72,20.00,STRAIGHT,9.08,LOW RISK
4.77,8.36,1.00,0.71,1332.03,2.21,50.90,STRAIGHT,6.36,LOW RISK
5.09,11.74,0.65,0.67,1819.58,-1.04,48.23,BENDING,11.95,LOW RISK
5.94,9.23,0.00,1.05,1120.62,1.33,39.01,BENDING,8.37,LOW RISK
5.02,9.16,0.03,0.84,1557.18,-2.39,48.89,STRAIGHT,5.86,LOW RISK
1.85,6.76,1.00,0.92,1151.51,-0.52,20.10,STRAIGHT,4.10,LOW RISK
0.87,3.30,1.00,1.19,846.18,0.13,20.00,STRAIGHT,2.87,LOW RISK
0.81,5.62,1.00,0.98,1062.97,-0.04,19.99,STRAIGHT,2.01,LOW RISK
1.11,6.62,1.00,0.95,1204.25,0.37,26.17,STRAIGHT,1.41,LOW RISK
4.46,6.17,0.49,0.92,1212.11,0.24,58.20,BENDING,8.48,LOW RISK
1.41,2.59,0.67,1.50,717.96,-0.67,26.63,STRAIGHT,5.94,LOW RISK
16.86,12.64,0.41,1.00,1384.96,7.52,81.58,BENDING,19.16,LOW RISK
3.17,3.76,0.00,3.01,796.33,-1.55,40.00,BENDING,13.41,LOW RISK
1.77,4.57,0.00,2.85,969.35,0.46,21.50,BENDING,9.39,LOW RISK
1.20,1.80,0.00,4.55,607.22,-0.49,20.02,BENDING,6.57,LOW RISK
4.75,10.53,0.00,1.52,1422.97,0.92,55.14,BENDING,12.10,LOW RISK
2.51,5.62,0.00,2.59,1131.22,-1.15,33.84,BENDING,8.47,LOW RISK
1.67,5.70,0.00,2.55,1164.36,0.35,24.02,BENDING,5.93,LOW RISK
3.21,5.07,0.00,2.28,826.86,-0.94,33.53,BENDING,4.15,LOW RISK
4.17,8.01,0.00,1.65,1110.52,-1.13,36.13,BENDING,2.91,LOW RISK
4.84,6.34,0.00,1.66,963.61,-0.51,47.45,BENDING,2.03,LOW RISK
1.20,2.28,0.00,3.11,786.50,-0.50,20.00,BENDING,1.42,LOW RISK
1.00,7.35,0.00,1.61,1408.62,-0.50,19.95,BENDING,8.50,LOW RISK
4.94,7.40,0.00,1.66,1299.38,1.36,41.41,BENDING,13.45,LOW RISK
1.12,5.46,0.00,2.10,1165.24,-0.56,22.72,BENDING,9.41,LOW RISK
0.96,8.67,0.00,1.59,1533.12,-0.48,20.00,BENDING,14.09,LOW RISK
0.76,4.68,0.00,2.05,1075.85,0.06,21.90,BENDING,9.86,LOW RISK
1.56,6.94,0.00,1.66,1246.03,-0.74,23.04,BENDING,14.40,LOW RISK
2.17,6.06,0.00,1.72,1117.00,0.78,27.11,BENDING,10.08,LOW RISK
2.60,4.27,0.00,1.97,966.24,-1.17,40.00,BENDING,7.06,LOW RISK
0.96,8.41,0.00,1.39,1422.76,-0.28,32.10,BENDING,12.44,LOW RISK
0.98,6.04,0.00,1.64,1163.85,0.21,19.99,BENDING,8.71,LOW RISK
0.96,7.76,0.00,1.44,1397.26,-0.32,19.91,BENDING,13.60,LOW RISK
4.00,6.11,0.00,1.73,1117.69,1.77,22.16,BENDING,9.52,LOW RISK
3.58,7.09,0.00,1.62,1310.09,0.13,41.65,BENDING,14.16,LOW RISK
5.42,7.83,0.00,1.76,1217.01,1.47,40.08,BENDING,17.41,LOW RISK
4.50,6.62,0.00,1.78,1304.91,-2.26,41.01,BENDING,19.69,LOW RISK
1.99,7.40,0.00,1.64,1370.32,-1.00,20.16,BENDING,21.28,LOW RISK
0.74,2.88,0.00,2.45,813.62,-0.22,20.86,BENDING,14.90,LOW RISK
1.71,3.98,0.00,2.16,900.94,0.60,20.00,BENDING,10.43,LOW RISK
1.99,5.07,0.00,1.88,987.95,0.19,32.76,BENDING,7.30,LOW RISK
4.27,7.36,0.00,1.45,1053.42,0.68,33.10,BENDING,5.11,LOW RISK
2.84,5.92,0.00,1.91,1130.71,-0.99,23.28,BENDING,3.58,LOW RISK
1.63,6.19,0.00,1.82,1097.19,-0.11,25.17,BENDING,2.50,LOW RISK
4.92,9.21,0.00,1.25,1323.20,0.70,35.95,BENDING,9.25,LOW RISK
6.13,9.75,0.00,1.30,1244.89,-1.15,52.79,BENDING,13.98,LOW RISK
3.20,15.33,0.00,0.79,1236.96,0.50,55.76,BENDING,24.78,MEDIUM RISK
3.15,14.56,0.00,0.79,1311.29,-0.39,48.11,BENDING,24.85,MEDIUM RISK
3.17,18.41,0.00,0.60,1365.21,-0.35,61.36,BENDING,32.39,MEDIUM RISK
6.36,25.13,0.00,0.37,2157.82,-0.18,88.29,BENDING,45.18,HIGH RISK
5.42,31.93,0.00,0.34,2438.37,-0.75,85.61,BENDING,54.12,HIGH RISK
5.84,29.82,0.00,0.34,2101.49,-0.29,79.60,BENDING,60.39,HIGH RISK
5.72,27.87,0.00,0.38,1854.04,0.38,81.13,BENDING,64.77,HIGH RISK
6.96,24.85,0.00,0.35,1887.75,-0.19,80.59,BENDING,67.84,HIGH RISK
7.27,36.97,0.00,0.22,2040.53,0.14,108.28,BENDING,69.99,HIGH RISK
7.47,10.27,0.00,0.88,1382.50,-1.82,52.59,BENDING,56.49,HIGH RISK
5.42,8.51,0.76,0.39,1330.79,0.33,88.24,STRAIGHT,39.54,MEDIUM RISK
9.35,10.91,0.75,0.83,1245.02,3.28,64.78,BENDING,42.68,HIGH RISK
9.65,11.65,0.00,0.89,1435.86,1.38,70.69,BENDING,44.88,HIGH RISK
5.58,4.06,0.00,2.46,736.88,-2.80,31.54,BENDING,31.41,MEDIUM RISK
2.00,5.23,0.00,1.71,1054.60,-1.00,20.01,BENDING,21.99,LOW RISK
2.57,2.62,0.00,1.46,1002.94,-1.29,42.58,BENDING,15.39,LOW RISK
1.83,5.00,0.81,1.09,1087.27,-0.86,24.36,STRAIGHT,10.77,LOW RISK
1.19,3.85,1.00,1.19,966.59,-0.50,20.00,STRAIGHT,7.54,LOW RISK
9.57,8.29,1.00,0.64,995.85,4.57,54.25,STRAIGHT,5.28,LOW RISK
7.44,27.80,0.22,0.35,2116.41,-2.03,106.09,BENDING,26.20,MEDIUM RISK
12.07,17.90,0.00,0.53,1584.19,2.41,167.14,BENDING,40.84,HIGH RISK
13.77,24.29,0.00,0.49,1865.08,0.07,123.28,BENDING,58.59,HIGH RISK
8.38,14.24,0.00,0.69,1644.56,-4.21,52.17,BENDING,56.01,HIGH RISK
6.65,24.96,0.58,0.23,1855.67,-1.07,93.94,STRAIGHT,39.21,MEDIUM RISK
8.18,15.67,1.00,0.30,1472.29,0.58,117.46,STRAIGHT,27.44,MEDIUM RISK
12.15,21.73,1.00,0.33,1725.51,4.28,96.82,STRAIGHT,19.21,LOW RISK
10.48,18.16,0.13,0.63,1312.95,-2.81,91.56,BENDING,35.95,MEDIUM RISK
6.21,21.22,0.14,0.35,2096.79,-0.72,101.62,STRAIGHT,25.16,MEDIUM RISK
9.96,16.65,0.96,0.49,1724.53,3.20,78.75,BENDING,47.61,HIGH RISK
2.67,6.97,0.00,1.69,956.29,-1.01,29.41,BENDING,33.33,MEDIUM RISK
2.93,6.86,0.00,1.47,1214.22,-1.25,40.03,BENDING,30.83,MEDIUM RISK
3.03,11.86,0.00,0.70,2251.26,-0.93,43.10,BENDING,29.08,MEDIUM RISK
6.84,11.70,0.00,0.85,1622.86,1.20,39.68,BENDING,27.86,MEDIUM RISK
21.67,16.68,0.17,0.24,1904.51,-10.42,161.21,STRAIGHT,19.50,LOW RISK
12.47,28.53,1.00,-0.21,1731.68,0.94,110.76,STRAIGHT,13.65,LOW RISK
21.50,21.98,1.00,0.01,1738.78,9.30,218.06,STRAIGHT,9.56,LOW RISK
9.74,14.34,1.00,0.39,1279.71,-2.69,93.95,STRAIGHT,6.69,LOW RISK
2.07,3.31,1.00,1.24,795.92,0.05,40.00,STRAIGHT,4.68,LOW RISK
10.28,9.58,0.63,0.97,1134.98,3.57,61.63,BENDING,10.78,LOW RISK
5.23,10.46,0.00,0.98,1475.36,-1.41,42.34,BENDING,15.04,LOW RISK
4.51,13.13,0.05,0.59,1626.75,-1.96,53.96,STRAIGHT,10.53,LOW RISK
3.63,8.94,1.00,0.68,1117.60,-0.93,31.41,STRAIGHT,7.37,LOW RISK
10.30,9.57,0.47,0.65,1041.82,2.86,138.91,BENDING,12.66,LOW RISK
3.30,10.29,0.00,0.77,2112.05,-0.66,41.48,BENDING,16.36,LOW RISK
5.67,8.15,0.50,0.73,1141.44,-1.03,48.37,STRAIGHT,11.45,LOW RISK
5.13,5.45,1.00,0.79,1155.56,-2.47,73.32,STRAIGHT,8.02,LOW RISK
8.80,10.86,1.00,0.51,1184.95,0.75,56.32,STRAIGHT,5.61,LOW RISK
4.99,5.32,1.00,0.31,710.41,0.45,49.59,STRAIGHT,3.93,LOW RISK
9.74,12.18,1.00,0.55,1289.63,2.16,56.82,STRAIGHT,2.75,LOW RISK
5.51,19.90,0.01,0.41,1875.79,-0.62,62.42,BENDING,24.42,MEDIUM RISK
6.36,37.90,0.00,0.25,1921.82,-0.03,112.22,BENDING,39.60,MEDIUM RISK
4.42,7.06,0.67,0.52,908.96,-1.46,68.41,STRAIGHT,27.72,MEDIUM RISK
6.35,19.34,0.62,0.42,2089.80,0.89,91.19,BENDING,41.90,HIGH RISK
10.13,25.70,0.66,0.24,1822.53,-2.55,106.30,STRAIGHT,29.33,MEDIUM RISK
7.11,31.29,1.00,0.18,2068.33,-0.08,129.35,STRAIGHT,20.53,LOW RISK
6.72,33.40,1.00,0.19,2274.12,0.92,133.74,STRAIGHT,14.37,LOW RISK
6.66,41.58,1.00,0.17,2591.88,0.69,121.48,STRAIGHT,10.06,LOW RISK
9.76,30.77,0.88,0.25,2073.16,1.75,132.81,BENDING,37.04,MEDIUM RISK
5.68,36.37,0.00,0.27,2097.09,0.39,96.80,BENDING,48.43,HIGH RISK
6.53,46.99,0.00,0.20,2171.51,-1.91,115.50,BENDING,56.40,HIGH RISK
7.27,51.77,0.00,0.18,2394.14,-0.88,125.04,BENDING,61.98,HIGH RISK
7.17,54.82,0.00,0.17,2655.91,1.98,140.17,BENDING,65.89,HIGH RISK
7.44,53.71,0.00,0.16,2685.15,0.59,146.02,BENDING,68.62,HIGH RISK
7.67,46.55,0.35,0.17,2509.80,-2.36,129.28,STRAIGHT,48.03,HIGH RISK
