RangeOfMotion,MotionSpeed,PostureDuration,Smoothness,JerkRMS,MeanVelocity,MaxVelocity,State,LDH_Probability,Risk
35.68,45.49,0.79,0.05,4010.10,-4.07,311.39,STRAIGHT,25.52,MEDIUM RISK
29.69,40.71,0.51,-0.53,5974.78,-8.28,298.03,RETURNING,47.87,HIGH RISK
17.67,31.09,0.00,-0.53,5274.16,5.99,136.26,RETURNING,63.51,HIGH RISK
14.63,30.92,0.00,-0.44,5039.74,5.09,103.66,RETURNING,74.45,HIGH RISK
39.24,47.06,0.55,0.13,5131.67,16.63,440.08,BENDING,82.12,HIGH RISK
8.88,84.25,0.00,0.23,20541.73,0.31,373.75,BENDING,87.48,HIGH RISK
6.35,25.00,0.00,0.53,7974.42,-2.01,264.67,BENDING,76.24,HIGH RISK
133.60,148.89,0.16,-0.05,14898.52,-4.02,1301.58,RETURNING,83.37,HIGH RISK
537.94,200.00,0.00,-0.02,30000.00,144.88,10668.06,RETURNING,88.36,HIGH RISK
0.78,9.00,0.05,28.98,1490.33,-0.13,18.92,BENDING,69.35,HIGH RISK
0.77,9.82,0.00,27.83,1481.26,0.03,18.18,BENDING,56.04,HIGH RISK
0.94,9.98,0.00,26.31,1609.99,-0.08,48.20,BENDING,46.73,HIGH RISK
9.63,61.20,0.00,2.60,18339.15,-2.33,569.55,BENDING,55.21,HIGH RISK
11.23,147.98,0.00,1.60,29876.62,-0.59,573.05,BENDING,61.15,HIGH RISK
10.43,117.88,0.00,1.75,27831.86,0.82,640.98,BENDING,65.30,HIGH RISK
2.19,12.93,0.00,13.13,3536.98,-0.20,147.70,BENDING,53.21,HIGH RISK
10.96,141.66,0.00,1.56,30000.00,-1.50,704.80,BENDING,59.75,HIGH RISK
11.34,133.44,0.00,1.74,27403.40,0.64,510.99,BENDING,64.32,HIGH RISK
4.18,33.19,0.00,5.35,9486.69,0.14,256.84,BENDING,60.03,HIGH RISK
378.38,200.00,0.00,0.15,30000.00,-0.29,8560.20,BENDING,72.02,HIGH RISK
450.36,200.00,0.01,0.01,30000.00,-135.24,9224.73,STRAIGHT,50.41,HIGH RISK
64.68,61.57,0.18,0.11,12404.92,-29.86,647.94,BENDING,65.29,HIGH RISK
62.74,39.48,0.75,0.22,7579.50,30.73,564.44,BENDING,75.70,HIGH RISK
2.99,6.26,0.00,2.93,1286.23,-1.50,28.63,BENDING,60.49,HIGH RISK
1.45,5.55,0.00,2.89,1121.64,-0.65,20.03,BENDING,42.34,HIGH RISK
0.33,0.57,0.00,9.83,314.66,-0.16,20.00,BENDING,29.64,MEDIUM RISK
271.04,200.00,0.00,0.07,30000.00,-1.17,5393.10,BENDING,50.75,HIGH RISK
269.67,200.00,0.00,0.05,30000.00,-0.25,5400.00,BENDING,65.52,HIGH RISK
271.72,144.62,0.00,0.44,30000.00,136.25,5416.85,BENDING,75.87,HIGH RISK
1.22,10.61,0.00,22.74,1911.80,-0.01,49.04,BENDING,60.61,HIGH RISK
1.29,9.63,0.00,26.77,1571.09,-0.31,45.32,BENDING,49.92,HIGH RISK
340.15,200.00,0.00,0.21,30000.00,-168.74,6668.66,BENDING,64.95,HIGH RISK
385.96,200.00,0.00,0.11,30000.00,167.63,7657.47,BENDING,75.46,HIGH RISK
462.02,200.00,0.05,-0.06,30000.00,-144.75,9609.63,RETURNING,82.82,HIGH RISK
418.00,200.00,0.00,-0.05,30000.00,9.88,8055.75,RETURNING,87.98,HIGH RISK
163.26,200.00,0.00,-0.13,14776.49,-4.93,1898.08,RETURNING,91.58,HIGH RISK
51.50,134.20,0.13,0.06,22005.67,-16.92,448.88,BENDING,94.11,HIGH RISK
262.86,200.00,0.47,-0.30,22948.47,-97.98,1926.16,RETURNING,95.88,HIGH RISK
239.92,125.03,0.01,-0.02,11882.97,120.10,2805.42,STRAIGHT,67.11,HIGH RISK
6.84,72.85,0.08,0.24,18893.53,-0.90,513.72,BENDING,69.48,HIGH RISK
26.83,45.97,0.00,0.29,8931.49,-0.51,285.55,BENDING,78.64,HIGH RISK
44.44,54.93,0.58,-0.00,5516.34,-9.03,251.68,STRAIGHT,55.04,HIGH RISK
19.51,15.03,0.37,0.70,1558.87,9.22,266.09,BENDING,61.03,HIGH RISK
8.44,50.50,0.00,0.28,14510.51,-4.21,345.92,BENDING,72.72,HIGH RISK
15.09,78.21,0.00,0.20,17183.79,2.15,522.51,BENDING,80.91,HIGH RISK
36.52,72.40,0.00,0.14,10561.00,0.60,496.55,BENDING,86.63,HIGH RISK
54.54,61.44,0.00,0.15,5416.72,-0.02,784.77,BENDING,90.64,HIGH RISK
5.85,20.41,0.00,0.52,8166.64,-0.52,301.63,BENDING,78.45,HIGH RISK
9.28,72.88,0.00,0.21,19921.10,1.04,488.97,BENDING,84.92,HIGH RISK
8.51,132.61,0.00,0.14,29369.01,-2.94,511.27,BENDING,89.44,HIGH RISK
10.72,140.54,0.00,0.14,29394.89,1.99,512.69,BENDING,92.61,HIGH RISK
17.29,124.53,0.00,0.13,27254.36,-0.15,497.75,BENDING,94.83,HIGH RISK
