Mean,Standard deviation,Max,Min,RMS,Energy,Peak-to-peak,Zero-crossing rate,label
30.88,3.497,39.55,21.524,31.078,965.832,18.025,0.252,STRAIGHT
34.869,3.162,42.577,27.377,35.012,1225.818,15.2,0.236,STRAIGHT
79.028,7.257,91.727,62.154,79.36,6298.078,29.573,0.205,BENDING
20.324,2.732,27.04,14.096,20.507,420.522,12.944,0.26,STRAIGHT
26.848,3.209,33.872,19.451,27.039,731.095,14.421,0.315,STRAIGHT
77.661,6.11,90.368,61.734,77.901,6068.59,28.634,0.228,BENDING
50.551,3.424,57.183,43.904,50.666,2567.085,13.279,0.394,RETURNING
102.45,6.994,116.845,90.436,102.688,10544.907,26.409,0.181,BENDING
47.866,3.347,56.968,40.764,47.983,2302.327,16.204,0.354,RETURNING
74.501,8.48,93.338,57.343,74.983,5622.375,35.994,0.165,BENDING
35.355,2.743,43.719,29.279,35.461,1257.471,14.44,0.417,STRAIGHT
72.099,6.89,84.595,56.738,72.427,5245.674,27.857,0.11,BENDING
70.936,7.924,86.545,57.287,71.377,5094.702,29.258,0.055,BENDING
82.759,6.686,99.67,69.097,83.028,6893.723,30.573,0.213,BENDING
76.097,4.799,86.347,64.694,76.249,5813.855,21.653,0.307,BENDING
47.456,4.56,57.624,35.074,47.675,2272.868,22.551,0.417,RETURNING
39.797,4.289,47.563,31.416,40.028,1602.216,16.147,0.094,RETURNING
86.111,3.801,97.163,77.79,86.195,7429.604,19.373,0.315,BENDING
69.918,5.754,84.115,58.973,70.155,4921.669,25.142,0.22,BENDING
86.879,5.114,98.345,73.286,87.03,7574.198,25.059,0.236,BENDING
83.459,7.636,98.667,68.794,83.807,7023.676,29.873,0.102,BENDING
50.084,6.055,63.913,38.877,50.449,2545.118,25.036,0.165,RETURNING
43.522,3.629,51.455,36.639,43.673,1907.331,14.816,0.094,RETURNING
38.681,1.835,43.158,33.866,38.725,1499.618,9.292,0.126,STRAIGHT
57.081,5.37,68.921,36.991,57.334,3287.134,31.93,0.402,RETURNING
67.663,5.597,80.652,55.07,67.894,4609.601,25.582,0.118,BENDING
28.956,2.391,34.893,21.3,29.054,844.148,13.593,0.386,STRAIGHT
54.948,6.58,67.53,38.373,55.34,3062.57,29.157,0.189,RETURNING
34.041,3.069,41.901,26.079,34.179,1168.238,15.822,0.441,STRAIGHT
46.802,4.576,55.639,34.93,47.026,2211.41,20.709,0.228,RETURNING
52.436,5.044,62.756,43.65,52.678,2774.998,19.106,0.134,RETURNING
85.903,5.346,97.417,76.998,86.069,7407.871,20.419,0.087,BENDING
88.986,6.649,106.612,73.419,89.234,7962.687,33.193,0.268,BENDING
51.034,6.302,61.693,40.199,51.422,2644.179,21.494,0.055,RETURNING
41.768,4.438,55.065,25.937,42.003,1764.258,29.128,0.394,RETURNING
36.83,2.211,43.27,32.307,36.896,1361.306,10.963,0.165,STRAIGHT
43.578,4.6,51.327,32.303,43.82,1920.164,19.024,0.189,RETURNING
43.068,4.167,50.882,33.75,43.27,1872.253,17.132,0.236,RETURNING
44.576,5.538,55.279,31.477,44.919,2017.686,23.802,0.189,RETURNING
47.236,2.627,52.165,42.456,47.308,2238.093,9.709,0.039,RETURNING
56.296,6.62,69.149,41.431,56.684,3213.05,27.718,0.22,RETURNING
84.53,6.438,97.753,72.14,84.775,7186.801,25.614,0.063,BENDING
61.228,5.033,70.524,51.228,61.435,3774.211,19.296,0.142,RETURNING
48.827,3.508,56.892,40.139,48.953,2396.353,16.753,0.283,RETURNING
29.375,4.01,39.319,23.368,29.648,878.99,15.951,0.173,STRAIGHT
54.92,4.386,64.794,45.727,55.095,3035.448,19.067,0.276,RETURNING
72.751,8.855,90.63,52.692,73.288,5371.074,37.938,0.165,BENDING
84.887,5.727,100.006,74.739,85.08,7238.682,25.267,0.252,BENDING
23.878,3.499,31.701,14.509,24.133,582.408,17.192,0.378,STRAIGHT
82.638,6.124,97.803,68.624,82.864,6866.483,29.179,0.197,BENDING
54.691,5.953,69.022,37.535,55.014,3026.575,31.488,0.11,RETURNING
71.657,5.613,84.918,61.215,71.877,5166.278,23.703,0.197,BENDING
34.607,2.949,41.025,29.06,34.733,1206.364,11.966,0.142,STRAIGHT
17.142,4.889,26.656,7.021,17.826,317.751,19.635,0.102,STRAIGHT
81.726,6.513,93.508,68.295,81.985,6721.61,25.213,0.102,BENDING
26.585,4.348,33.998,18.068,26.938,725.679,15.93,0.063,STRAIGHT
65.708,5.227,80.35,54.859,65.915,4344.803,25.49,0.228,BENDING
31.702,3.566,40.93,22.03,31.902,1017.745,18.9,0.402,STRAIGHT
26.982,3.248,34.538,19.179,27.177,738.588,15.359,0.441,STRAIGHT
57.769,4.302,68.12,48.748,57.929,3355.751,19.372,0.441,RETURNING
81.482,9.329,107.066,61.151,82.014,6726.326,45.914,0.213,BENDING
84.18,4.098,93.84,75.908,84.28,7103.135,17.933,0.118,BENDING
60.81,3.397,70.44,51.45,60.905,3709.4,18.99,0.299,RETURNING
72.418,4.877,83.853,61.979,72.582,5268.126,21.875,0.354,BENDING
21.848,2.503,29.144,15.364,21.991,483.597,13.78,0.346,STRAIGHT
87.173,7.788,103.886,73.062,87.52,7659.768,30.825,0.15,BENDING
83.702,5.736,98.125,71.96,83.898,7038.9,26.165,0.165,BENDING
49.969,3.853,60.026,39.391,50.117,2511.698,20.636,0.252,RETURNING
49.935,5.063,61.444,40.91,50.191,2519.107,20.534,0.134,RETURNING
20.341,2.509,26.181,12.69,20.495,420.035,13.491,0.283,STRAIGHT
78.148,4.317,88.78,65.869,78.267,6125.78,22.911,0.252,BENDING
78.487,4.335,86.825,63.455,78.606,6178.934,23.37,0.244,BENDING
56.031,5.054,68.704,40.924,56.258,3164.968,27.78,0.402,RETURNING
19.511,2.527,27.044,13.732,19.674,387.051,13.312,0.417,STRAIGHT
67.552,4.292,77.706,57.883,67.689,4581.734,19.823,0.425,BENDING
49.628,2.902,56.552,42.463,49.712,2471.327,14.089,0.457,RETURNING
87.321,4.096,96.85,77.263,87.417,7641.679,19.587,0.409,BENDING
18.45,3.388,26.711,10.481,18.759,351.888,16.23,0.22,STRAIGHT
92.242,5.575,105.208,79.282,92.411,8539.701,25.927,0.228,BENDING
87.74,8.006,106.702,74.014,88.105,7762.45,32.688,0.157,BENDING
88.607,5.754,102.034,77.412,88.794,7884.295,24.622,0.236,BENDING
81.807,6.388,94.04,67.893,82.056,6733.234,26.147,0.244,BENDING
85.166,4.937,95.536,71.021,85.309,7277.577,24.515,0.433,BENDING
49.612,4.248,58.687,39.231,49.793,2479.392,19.456,0.189,RETURNING
55.787,3.888,64.228,45.811,55.922,3127.304,18.417,0.331,RETURNING
30.702,3.263,38.315,22.141,30.875,953.28,16.173,0.323,STRAIGHT
73.573,8.013,88.264,53.431,74.008,5477.238,34.833,0.197,BENDING
34.325,2.802,40.636,26.372,34.439,1186.028,14.263,0.165,STRAIGHT
41.704,2.902,48.397,35.253,41.805,1747.681,13.145,0.244,RETURNING
64.737,4.719,76.444,55.128,64.909,4213.124,21.316,0.472,RETURNING
59.935,5.141,77.975,47.929,60.155,3618.649,30.047,0.228,RETURNING
79.501,4.547,88.117,68.73,79.631,6341.099,19.387,0.299,BENDING
68.566,7.574,85.612,51.261,68.983,4758.699,34.351,0.291,BENDING
52.91,4.812,63.373,41.421,53.128,2822.623,21.952,0.26,RETURNING
41.375,6.549,56.934,29.88,41.891,1754.819,27.054,0.213,RETURNING
89.394,5.74,100.794,77.747,89.578,8024.179,23.047,0.063,BENDING
79.641,6.088,91.01,64.116,79.873,6379.733,26.894,0.157,BENDING
54.127,4.18,64.258,42.769,54.288,2947.234,21.489,0.315,RETURNING
43.713,3.579,52.886,31.82,43.859,1923.628,21.066,0.457,RETURNING
60.19,6.523,74.699,46.186,60.542,3665.323,28.514,0.157,BENDING
75.337,6.206,89.867,62.733,75.592,5714.173,27.134,0.047,BENDING
25.612,2.45,30.277,20.23,25.729,661.981,10.048,0.173,STRAIGHT
33.261,2.926,41.273,26.492,33.389,1114.843,14.781,0.441,STRAIGHT
68.406,7.892,90.432,51.631,68.86,4741.66,38.802,0.173,BENDING
26.23,5.065,35.816,17.041,26.715,713.676,18.775,0.094,STRAIGHT
89.587,4.03,100.576,81.934,89.678,8042.119,18.642,0.213,BENDING
69.495,4.152,78.453,57.541,69.619,4846.862,20.912,0.268,BENDING
17.68,1.869,22.242,13.132,17.778,316.065,9.111,0.244,STRAIGHT
82.858,6.067,96.725,71.694,83.08,6902.22,25.031,0.189,BENDING
30.964,3.598,39.33,22.194,31.173,971.73,17.136,0.157,STRAIGHT
81.837,6.251,94.283,68.189,82.075,6736.362,26.094,0.181,BENDING
68.499,4.747,84.358,59.192,68.663,4714.633,25.167,0.283,BENDING
28.507,3.576,36.219,22.189,28.731,825.459,14.029,0.087,STRAIGHT
26.449,2.611,35.033,19.938,26.578,706.379,15.095,0.378,STRAIGHT
46.314,5.309,58.38,35.434,46.617,2173.171,22.947,0.157,RETURNING
71.245,5.94,86.033,56.764,71.493,5111.198,29.27,0.165,BENDING
80.201,10.443,101.694,53.62,80.878,6541.279,48.074,0.181,BENDING
68.825,5.081,81.656,57.796,69.012,4762.715,23.86,0.165,BENDING
89.634,5.227,101.729,80.43,89.787,8061.635,21.299,0.094,BENDING
61.063,6.741,72.617,43.117,61.433,3774.069,29.499,0.157,RETURNING
68.546,4.35,80.17,58.074,68.683,4717.418,22.097,0.26,BENDING
53.688,4.435,66.319,43.276,53.871,2902.074,23.043,0.378,RETURNING
26.401,4.8,34.554,14.216,26.834,720.076,20.339,0.165,STRAIGHT
44.092,3.781,53.275,35.032,44.254,1958.436,18.243,0.276,RETURNING
97.331,8.238,111.295,80.019,97.679,9541.198,31.276,0.102,BENDING
28.467,2.967,35.042,22.488,28.621,819.186,12.554,0.157,STRAIGHT
31.004,2.799,36.869,25.237,31.13,969.089,11.632,0.165,STRAIGHT
62.164,6.857,79.897,47.605,62.542,3911.443,32.291,0.236,BENDING
22.66,2.25,28.887,18.132,22.772,518.551,10.755,0.291,STRAIGHT
93.522,4.042,102.863,84.204,93.609,8762.622,18.658,0.26,BENDING
79.044,7.413,92.111,65.812,79.39,6302.833,26.299,0.039,BENDING
88.637,7.72,106.715,73.1,88.972,7916.103,33.615,0.165,BENDING
18.157,2.958,24.438,11.654,18.396,338.423,12.784,0.22,STRAIGHT
72.818,5.631,84.974,60.28,73.035,5334.1,24.694,0.37,BENDING
25.881,3.661,33.697,17.838,26.139,683.251,15.859,0.441,STRAIGHT
93.666,3.968,101.726,82.489,93.75,8789.052,19.237,0.252,BENDING
50.932,4.607,63.047,36.591,51.139,2615.247,26.456,0.339,RETURNING
75.63,6.474,94.319,60.377,75.907,5761.841,33.942,0.323,BENDING
47.045,6.493,64.792,33.183,47.491,2255.36,31.609,0.354,RETURNING
51.551,4.022,62.071,42.196,51.708,2673.725,19.876,0.22,RETURNING
68.001,9.238,85.229,48.872,68.625,4709.411,36.356,0.134,BENDING
31.262,3.354,38.988,22.098,31.441,988.53,16.89,0.323,STRAIGHT
56.642,4.674,69.205,47.629,56.835,3230.162,21.576,0.189,RETURNING
55.605,3.644,66.716,47.546,55.725,3105.221,19.17,0.236,RETURNING
32.069,3.111,38.96,24.393,32.22,1038.101,14.567,0.26,STRAIGHT
54.367,4.825,64.121,45.027,54.581,2979.09,19.094,0.244,RETURNING
18.812,4.223,28.347,9.46,19.28,371.709,18.886,0.181,STRAIGHT
42.993,4.375,56.447,30.887,43.215,1867.524,25.56,0.291,RETURNING
69.559,8.275,89.514,53.584,70.049,4906.889,35.929,0.094,BENDING
55.965,5.847,67.834,44.846,56.269,3166.251,22.988,0.126,RETURNING
95.943,6.671,111.274,84.343,96.175,9249.586,26.931,0.134,BENDING
75.357,4.441,87.175,64.546,75.488,5698.4,22.629,0.307,BENDING
37.003,4.019,46.752,29.713,37.221,1385.398,17.039,0.189,STRAIGHT
61.879,5.333,73.212,48.876,62.108,3857.397,24.336,0.22,BENDING
84.894,4.222,95.23,76.748,84.999,7224.797,18.482,0.15,BENDING
12.919,4.543,22.469,1.503,13.695,187.546,20.965,0.165,STRAIGHT
53.678,4.255,63.663,44.662,53.847,2899.446,19.001,0.11,RETURNING
60.306,4.162,70.507,51.647,60.45,3654.159,18.86,0.173,RETURNING
30.409,4.638,41.213,19.486,30.76,946.199,21.727,0.244,STRAIGHT
32.929,3.1,40.002,26.276,33.074,1093.914,13.726,0.134,STRAIGHT
25.599,3.302,32.422,17.861,25.812,666.234,14.56,0.291,STRAIGHT
55.798,5.382,70.562,41.548,56.057,3142.389,29.013,0.299,RETURNING
81.282,7.506,97.557,62.799,81.628,6663.126,34.758,0.189,BENDING
78.418,7.054,96.151,63.794,78.735,6199.221,32.357,0.181,BENDING
71.152,5.236,82.419,59.926,71.344,5089.982,22.493,0.213,BENDING
87.557,5.298,97.413,75.719,87.717,7694.306,21.694,0.165,BENDING
82.881,7.523,106.025,65.521,83.222,6925.908,40.504,0.236,BENDING
25.367,4.337,35.377,14.905,25.735,662.3,20.472,0.299,STRAIGHT
90.067,4.0,99.308,80.452,90.156,8128.082,18.855,0.181,BENDING
54.23,7.749,66.983,32.649,54.781,3000.949,34.334,0.142,RETURNING
53.713,4.208,61.665,44.822,53.877,2902.77,16.843,0.228,RETURNING
72.658,6.579,88.003,58.524,72.955,5322.403,29.48,0.213,BENDING
71.929,7.273,89.628,56.528,72.296,5226.741,33.1,0.26,BENDING
78.618,3.918,85.464,66.989,78.716,6196.156,18.475,0.26,BENDING
16.068,2.99,22.656,9.748,16.344,267.118,12.908,0.205,STRAIGHT
40.743,2.995,47.036,33.347,40.853,1668.949,13.689,0.291,STRAIGHT
70.609,5.282,84.787,59.641,70.806,5013.51,25.146,0.181,BENDING
46.333,5.117,58.557,34.195,46.615,2172.963,24.363,0.276,RETURNING
70.747,6.295,89.079,54.251,71.027,5044.816,34.829,0.315,BENDING
82.549,4.519,93.672,72.737,82.672,6834.687,20.935,0.252,BENDING
35.019,7.078,49.926,16.007,35.727,1276.396,33.919,0.181,RETURNING
30.709,2.986,38.659,24.205,30.854,951.942,14.454,0.386,STRAIGHT
83.757,8.179,100.139,65.768,84.156,7082.154,34.371,0.173,BENDING
74.967,5.892,84.717,59.726,75.199,5654.82,24.991,0.22,BENDING
13.376,2.468,19.562,7.808,13.602,185.021,11.754,0.26,STRAIGHT
56.21,6.009,69.551,39.603,56.53,3195.677,29.948,0.26,RETURNING
20.189,1.944,23.768,16.575,20.282,411.358,7.193,0.024,STRAIGHT
51.619,4.013,61.925,43.785,51.775,2680.63,18.14,0.157,RETURNING
76.323,6.183,91.965,64.705,76.573,5863.494,27.26,0.126,BENDING
31.669,2.502,36.55,25.446,31.768,1009.183,11.103,0.118,STRAIGHT
23.767,1.983,30.113,19.599,23.849,568.786,10.514,0.441,STRAIGHT
49.319,4.668,60.064,39.481,49.539,2454.125,20.583,0.22,RETURNING
30.048,3.135,37.171,23.413,30.211,912.695,13.758,0.228,STRAIGHT
86.61,6.73,101.401,72.902,86.871,7546.6,28.498,0.165,BENDING
72.301,5.209,84.012,61.841,72.488,5254.571,22.171,0.252,BENDING
74.12,6.398,87.27,62.161,74.396,5534.754,25.11,0.236,BENDING
50.785,4.972,61.051,39.009,51.028,2603.846,22.042,0.205,RETURNING
28.749,3.676,38.187,21.264,28.983,840.032,16.923,0.236,STRAIGHT
26.242,3.88,34.445,16.676,26.527,703.685,17.768,0.213,STRAIGHT
45.456,3.463,52.771,36.975,45.587,2078.214,15.795,0.181,RETURNING
46.597,4.812,56.96,37.482,46.845,2194.45,19.478,0.15,RETURNING
41.363,3.691,50.221,33.677,41.527,1724.493,16.545,0.252,RETURNING
23.206,2.049,28.185,18.482,23.296,542.703,9.704,0.528,STRAIGHT
79.655,4.446,88.71,69.656,79.779,6364.704,19.054,0.236,BENDING
48.572,5.518,64.547,37.066,48.885,2389.706,27.481,0.268,RETURNING
23.687,5.034,33.863,12.127,24.216,586.434,21.736,0.094,STRAIGHT
33.478,3.268,44.716,27.125,33.637,1131.475,17.591,0.11,STRAIGHT
32.614,3.465,39.89,24.34,32.797,1075.655,15.55,0.252,STRAIGHT
24.432,2.746,29.763,15.6,24.586,604.45,14.162,0.575,STRAIGHT
81.215,5.134,95.024,72.129,81.377,6622.257,22.895,0.213,BENDING
78.175,5.559,92.012,66.233,78.373,6142.286,25.779,0.236,BENDING
87.589,6.276,101.224,75.983,87.813,7711.174,25.241,0.181,BENDING
49.64,3.947,57.584,39.845,49.796,2479.665,17.739,0.205,RETURNING
35.175,4.223,45.142,25.289,35.428,1255.125,19.853,0.283,RETURNING
85.851,5.546,101.612,76.233,86.03,7401.112,25.379,0.197,BENDING
74.751,6.578,89.226,61.401,75.04,5630.928,27.825,0.157,BENDING
73.552,7.099,88.253,56.975,73.893,5460.228,31.278,0.299,BENDING
50.22,5.659,64.46,36.433,50.537,2554.028,28.027,0.465,RETURNING
30.712,3.354,38.899,24.433,30.895,954.478,14.466,0.236,STRAIGHT
43.643,3.053,50.072,37.519,43.749,1914.012,12.552,0.465,RETURNING
28.263,4.135,35.677,21.439,28.564,815.874,14.238,0.039,STRAIGHT
56.169,4.272,68.463,46.803,56.331,3173.159,21.66,0.339,RETURNING
93.657,4.804,104.666,83.425,93.78,8794.74,21.241,0.189,BENDING
22.306,2.693,29.617,14.651,22.468,504.797,14.966,0.472,STRAIGHT
66.436,6.279,80.547,52.218,66.732,4453.123,28.329,0.236,BENDING
33.43,3.8,41.96,24.219,33.646,1132.024,17.74,0.197,STRAIGHT
53.207,3.513,61.464,42.69,53.323,2843.339,18.774,0.213,RETURNING
20.125,3.654,29.508,10.574,20.454,418.379,18.934,0.331,STRAIGHT
72.683,6.706,86.096,55.782,72.992,5327.833,30.314,0.126,BENDING
84.806,5.15,98.515,67.984,84.962,7218.589,30.531,0.291,BENDING
52.912,2.526,59.063,46.276,52.972,2806.044,12.786,0.283,RETURNING
78.975,7.316,96.085,61.322,79.313,6290.517,34.763,0.236,BENDING
64.268,6.009,77.114,50.039,64.548,4166.46,27.075,0.189,BENDING
74.065,7.377,89.328,58.527,74.431,5539.984,30.801,0.134,BENDING
25.09,2.286,31.27,20.877,25.194,634.715,10.393,0.276,STRAIGHT
32.117,2.853,40.418,26.015,32.244,1039.661,14.403,0.283,STRAIGHT
82.895,5.786,97.943,71.348,83.096,6904.986,26.596,0.197,BENDING
29.813,3.814,36.742,22.633,30.056,903.373,14.109,0.047,STRAIGHT
83.456,4.875,96.914,73.203,83.599,6988.737,23.711,0.189,BENDING
98.801,5.459,113.06,87.158,98.952,9791.425,25.902,0.236,BENDING
38.005,3.326,44.319,31.805,38.15,1455.449,12.514,0.071,STRAIGHT
93.869,5.942,107.888,79.259,94.057,8846.66,28.629,0.323,BENDING
27.546,4.218,36.695,18.195,27.867,776.551,18.5,0.189,STRAIGHT
93.522,6.713,119.301,77.305,93.763,8791.472,41.996,0.402,BENDING
83.106,9.03,103.341,64.721,83.596,6988.221,38.62,0.189,BENDING
26.515,1.895,31.135,21.875,26.583,706.644,9.26,0.417,STRAIGHT
57.623,3.902,67.577,49.617,57.755,3335.585,17.96,0.22,RETURNING
25.903,2.589,30.959,20.649,26.032,677.656,10.31,0.378,STRAIGHT
49.121,6.03,62.232,37.127,49.49,2449.283,25.105,0.15,RETURNING
78.821,6.186,92.114,67.144,79.063,6250.955,24.97,0.157,BENDING
80.007,4.252,89.635,69.583,80.12,6419.182,20.053,0.205,BENDING
78.711,4.64,88.277,68.784,78.848,6216.939,19.493,0.102,BENDING
73.63,6.327,86.971,59.161,73.901,5461.371,27.81,0.102,BENDING
81.812,4.847,94.037,71.448,81.956,6716.764,22.589,0.26,BENDING
81.642,5.766,90.588,70.034,81.845,6698.656,20.553,0.047,BENDING
23.536,3.312,32.416,16.218,23.768,564.929,16.198,0.362,STRAIGHT
39.705,5.244,50.37,24.795,40.05,1604.016,25.575,0.118,RETURNING
61.416,4.15,69.724,50.312,61.556,3789.161,19.412,0.173,RETURNING
19.372,2.64,24.322,14.007,19.551,382.23,10.314,0.118,STRAIGHT
58.919,3.842,66.866,51.214,59.044,3486.173,15.651,0.142,RETURNING
57.349,4.512,67.543,47.305,57.526,3309.287,20.239,0.213,RETURNING
25.127,4.22,34.765,17.859,25.479,649.171,16.906,0.157,STRAIGHT
46.114,6.057,62.101,35.124,46.51,2163.161,26.977,0.276,RETURNING
76.351,6.062,88.489,60.406,76.591,5866.168,28.083,0.228,BENDING
28.414,4.892,38.975,18.839,28.833,831.318,20.135,0.11,STRAIGHT
91.225,6.378,104.0,79.228,91.447,8362.619,24.772,0.094,BENDING
41.5,4.779,53.328,32.568,41.775,1745.119,20.76,0.165,RETURNING
81.824,9.143,99.275,60.423,82.334,6778.851,38.852,0.15,BENDING
48.805,4.523,59.755,38.907,49.015,2402.435,20.848,0.173,RETURNING
59.307,3.823,67.133,50.243,59.43,3531.924,16.89,0.205,RETURNING
59.669,4.942,71.373,47.931,59.873,3584.817,23.442,0.339,RETURNING
79.752,4.438,93.234,68.508,79.876,6380.156,24.726,0.465,BENDING
52.282,4.556,63.01,42.455,52.481,2754.205,20.555,0.283,RETURNING
70.936,7.961,88.923,58.107,71.382,5095.35,30.816,0.102,BENDING
30.372,2.315,35.748,24.301,30.46,927.792,11.447,0.37,STRAIGHT
87.197,6.056,100.785,73.014,87.407,7639.984,27.771,0.276,BENDING
31.116,2.156,35.866,25.914,31.191,972.854,9.952,0.22,STRAIGHT
78.136,5.791,90.714,66.01,78.351,6138.824,24.704,0.165,BENDING
27.484,2.438,32.759,22.611,27.592,761.329,10.148,0.071,STRAIGHT
82.437,4.984,97.172,71.907,82.588,6820.761,25.265,0.315,BENDING
77.952,6.226,93.699,61.08,78.201,6115.319,32.619,0.268,BENDING
31.867,2.282,38.248,27.817,31.949,1020.728,10.431,0.496,STRAIGHT
70.732,5.771,82.695,57.979,70.967,5036.298,24.716,0.236,BENDING
22.578,3.237,29.957,15.579,22.809,520.236,14.378,0.189,STRAIGHT
29.458,1.927,34.107,25.145,29.521,871.47,8.963,0.402,STRAIGHT
41.152,5.434,53.477,29.698,41.509,1723.011,23.778,0.283,RETURNING
50.711,4.307,60.343,40.85,50.893,2590.133,19.493,0.22,RETURNING
58.807,2.803,64.92,51.335,58.874,3466.118,13.586,0.299,RETURNING
79.448,7.846,101.886,59.398,79.834,6373.484,42.488,0.197,BENDING
78.164,6.449,91.536,59.251,78.43,6151.229,32.284,0.291,BENDING
59.663,3.744,68.493,50.585,59.78,3573.671,17.908,0.22,RETURNING
27.469,2.068,33.638,22.59,27.546,758.801,11.048,0.449,STRAIGHT
56.875,6.859,70.438,42.696,57.287,3281.814,27.742,0.134,RETURNING
64.343,5.55,74.997,51.666,64.582,4170.855,23.331,0.213,BENDING
35.134,3.549,42.067,26.825,35.312,1246.971,15.242,0.213,STRAIGHT
25.508,1.792,29.716,20.3,25.571,653.867,9.416,0.339,STRAIGHT
78.957,5.369,91.305,69.831,79.139,6262.97,21.473,0.134,BENDING
64.384,5.327,76.02,50.585,64.604,4173.685,25.435,0.276,RETURNING
74.781,5.709,86.274,61.512,74.998,5624.74,24.762,0.134,BENDING
79.445,6.794,91.589,66.11,79.735,6357.729,25.479,0.173,BENDING
18.099,2.827,23.124,9.934,18.318,335.553,13.189,0.236,STRAIGHT
60.398,2.44,67.439,54.653,60.447,3653.819,12.786,0.323,RETURNING
62.832,5.215,76.673,52.011,63.048,3975.063,24.662,0.213,RETURNING
42.093,4.362,50.087,31.929,42.319,1790.857,18.157,0.102,RETURNING
33.138,2.718,39.387,26.312,33.25,1105.547,13.075,0.346,STRAIGHT
19.644,3.948,29.07,11.866,20.037,401.47,17.204,0.252,STRAIGHT
43.196,2.904,49.189,35.456,43.294,1874.352,13.733,0.26,STRAIGHT
91.001,6.962,106.54,75.565,91.267,8329.582,30.975,0.22,BENDING
28.014,3.993,37.567,19.777,28.297,800.719,17.79,0.189,STRAIGHT
26.779,2.088,30.855,22.712,26.861,721.498,8.143,0.102,STRAIGHT
89.452,7.085,105.541,73.495,89.732,8051.844,32.046,0.165,BENDING
74.863,5.74,89.444,64.04,75.083,5637.395,25.403,0.142,BENDING
74.902,5.327,85.889,66.527,75.091,5638.714,19.362,0.102,BENDING
72.285,7.682,90.08,56.98,72.692,5284.167,33.1,0.26,BENDING
75.848,3.843,85.061,63.888,75.946,5767.736,21.172,0.535,BENDING
67.113,7.081,82.147,54.412,67.485,4554.269,27.735,0.087,BENDING
69.23,3.919,76.342,61.813,69.34,4808.081,14.529,0.173,RETURNING
75.939,5.593,87.097,62.457,76.144,5797.962,24.641,0.181,BENDING
53.609,5.686,67.297,41.82,53.91,2906.254,25.477,0.268,RETURNING
31.302,1.346,33.831,28.556,31.33,981.599,5.274,0.205,STRAIGHT
79.485,5.195,94.663,67.852,79.655,6344.885,26.812,0.244,BENDING
91.776,5.683,104.692,76.8,91.952,8455.16,27.893,0.22,BENDING
22.174,3.379,29.91,13.124,22.43,503.107,16.786,0.378,STRAIGHT
56.922,3.951,65.943,47.499,57.059,3255.759,18.444,0.244,RETURNING
